congress_1,bill_number_1,result_1,similarity,congress_2,bill_number_2,result_2
110,h1873,,0.5884072672175256,111,h1237,
110,h6351,,0.9519085561643006,111,h1237,
110,h1877,,0.6367887739484741,111,h1238,
110,h388,Passed,0.6407272191104624,111,h1238,
110,h280,Failed,0.9460321058619924,111,h124,Passed
110,h885,Passed,0.9938107256613796,111,h1240,
110,h6627,,0.6112450947134186,111,h1245,
110,h182,Agreed to,0.6410813385092324,111,h1248,
110,h2015,,0.5412503103393237,111,h1248,
110,h2506,,0.5313002959367501,111,h1248,
110,h2623,,0.670666623510337,111,h1248,
110,h2680,,0.5313541700444315,111,h1248,
110,h3095,,0.6572646685291456,111,h1248,
110,h3493,,0.5331041132588168,111,h1248,
110,h4291,,0.6264067233854346,111,h1248,
110,h623,Passed,0.5711742316174201,111,h1248,
110,h6263,,0.5614905625900843,111,h1248,
110,h6315,,0.5303789063990059,111,h1248,
110,h6539,,0.5419991734583322,111,h1248,
110,h720,Failed,0.9952040455452589,111,h1248,
110,h744,Passed,0.6039724546733871,111,h1248,
110,h779,Failed,0.5588718683962376,111,h1248,
110,h2502,,0.9883926032173197,111,h1250,
110,h2032,,0.8868001796674065,111,h1255,
110,h3186,,0.8275345808601353,111,h1256,
110,h4134,,0.6320680858345896,111,h1256,
110,h164,Passed,0.9629108050263601,111,h1257,
110,h6051,,0.5384704094827264,111,h1257,
110,h1056,Failed,0.5119422351953478,111,h1260,
110,h1249,,0.916024612721324,111,h1260,
110,h3411,,0.5001113570734029,111,h1260,
110,h6353,,0.5678335248782379,111,h1260,
110,h6544,,0.5352267282854611,111,h1260,
110,h6621,,0.650290061588221,111,h1260,
110,h3186,,0.815780573811822,111,h1261,
110,h4134,,0.6205574422028205,111,h1261,
110,h3145,,0.7225702904055499,111,h1262,
110,h6249,,0.5713639366905942,111,h1262,
110,h2669,,0.7871499038964201,111,h1265,
110,h691,Failed,0.8361001168416567,111,h1268,
110,h875,Failed,0.7662096883186794,111,h1269,
110,h858,Failed,0.9340280234110788,111,h1272,
110,h655,Passed,0.9898526915487905,111,h1273,
110,h4106,,0.8957384159446923,111,h1274,
110,h1237,,0.5126246678600636,111,h1275,
110,h1904,,0.5148917746406285,111,h1275,
